probe_id,literal,probe_kind,actual_valid,epoch,p_valid,correct
V1,((((())))),valid,True,0,0.510468,1
V1,((((())))),valid,True,10,0.684239,1
V1,((((())))),valid,True,20,0.797735,1
V1,((((())))),valid,True,30,0.736519,1
V1,((((())))),valid,True,40,0.770678,1
V1,((((())))),valid,True,50,0.660477,1
V1,((((())))),valid,True,60,0.696910,1
V1,((((())))),valid,True,70,0.697235,1
V1,((((())))),valid,True,80,0.712901,1
V2,(((()()))),valid,True,0,0.496123,0
V2,(((()()))),valid,True,10,0.639762,1
V2,(((()()))),valid,True,20,0.702830,1
V2,(((()()))),valid,True,30,0.592059,1
V2,(((()()))),valid,True,40,0.625204,1
V2,(((()()))),valid,True,50,0.582592,1
V2,(((()()))),valid,True,60,0.666934,1
V2,(((()()))),valid,True,70,0.660481,1
V2,(((()()))),valid,True,80,0.678104,1
V3,(((())())),valid,True,0,0.541667,1
V3,(((())())),valid,True,10,0.751365,1
V3,(((())())),valid,True,20,0.864446,1
V3,(((())())),valid,True,30,0.839020,1
V3,(((())())),valid,True,40,0.870477,1
V3,(((())())),valid,True,50,0.788722,1
V3,(((())())),valid,True,60,0.784772,1
V3,(((())())),valid,True,70,0.779625,1
V3,(((())())),valid,True,80,0.787487,1
V4,(((()))()),valid,True,0,0.506283,1
V4,(((()))()),valid,True,10,0.689156,1
V4,(((()))()),valid,True,20,0.686484,1
V4,(((()))()),valid,True,30,0.555103,1
V4,(((()))()),valid,True,40,0.611873,1
V4,(((()))()),valid,True,50,0.504834,1
V4,(((()))()),valid,True,60,0.522360,1
V4,(((()))()),valid,True,70,0.498364,0
V4,(((()))()),valid,True,80,0.513565,1
V5,(((())))(),valid,True,0,0.502093,1
V5,(((())))(),valid,True,10,0.703704,1
V5,(((())))(),valid,True,20,0.816044,1
V5,(((())))(),valid,True,30,0.722113,1
V5,(((())))(),valid,True,40,0.698634,1
V5,(((())))(),valid,True,50,0.486558,0
V5,(((())))(),valid,True,60,0.426714,0
V5,(((())))(),valid,True,70,0.477772,0
V5,(((())))(),valid,True,80,0.463882,0
V6,((()(()))),valid,True,0,0.498426,0
V6,((()(()))),valid,True,10,0.653386,1
V6,((()(()))),valid,True,20,0.757483,1
V6,((()(()))),valid,True,30,0.687703,1
V6,((()(()))),valid,True,40,0.733051,1
V6,((()(()))),valid,True,50,0.646414,1
V6,((()(()))),valid,True,60,0.702605,1
V6,((()(()))),valid,True,70,0.695696,1
V6,((()(()))),valid,True,80,0.713128,1
V7,((()()())),valid,True,0,0.543978,1
V7,((()()())),valid,True,10,0.760773,1
V7,((()()())),valid,True,20,0.885557,1
V7,((()()())),valid,True,30,0.871809,1
V7,((()()())),valid,True,40,0.900753,1
V7,((()()())),valid,True,50,0.823292,1
V7,((()()())),valid,True,60,0.811189,1
V7,((()()())),valid,True,70,0.806244,1
V7,((()()())),valid,True,80,0.813734,1
V8,((()())()),valid,True,0,0.507779,1
V8,((()())()),valid,True,10,0.697026,1
V8,((()())()),valid,True,20,0.745019,1
V8,((()())()),valid,True,30,0.663812,1
V8,((()())()),valid,True,40,0.734241,1
V8,((()())()),valid,True,50,0.580400,1
V8,((()())()),valid,True,60,0.567796,1
V8,((()())()),valid,True,70,0.543495,1
V8,((()())()),valid,True,80,0.559175,1
V9,((()()))(),valid,True,0,0.505272,1
V9,((()()))(),valid,True,10,0.716119,1
V9,((()()))(),valid,True,20,0.841614,1
V9,((()()))(),valid,True,30,0.769520,1
V9,((()()))(),valid,True,40,0.756959,1
V9,((()()))(),valid,True,50,0.540332,1
V9,((()()))(),valid,True,60,0.464164,0
V9,((()()))(),valid,True,70,0.513275,1
V9,((()()))(),valid,True,80,0.500053,1
